2,0,0.999809,1.92326e-05
4,0,0.999809,1.92326e-05
7.56004,0.556274,0.990635,0.134646
7.95679,0.680902,0.985838,0.166325
8.35344,0.830095,0.981303,0.192017
8.64367,0.955462,0.977228,0.211373
8.92718,1.09127,0.972591,0.231837
9.20535,1.24096,0.966443,0.25622
9.46516,1.39788,0.957783,0.286665
9.70395,1.59272,0.914273,0.404416
9.86565,1.86045,0.824502,0.564555
9.96214,2.15515,0.798018,0.602143
10.0368,2.45638,0.776928,0.629099
10.09,2.76364,0.748138,0.663003
10.0758,3.07041,0.62041,0.783496
9.96251,3.35538,0.528203,0.848745
9.81131,3.63301,0.492592,0.86977
9.63843,3.90255,0.465407,0.884847
9.45737,4.14785,0.425591,0.904671
5.67843,3.5334,-0.987699,0.15114
1.80739,4.17002,-0.954801,0.29698
-1.96034,3.75029,0.956318,0.291155
-4.67111,1.7357,-0.707837,0.705849
-1.33029,0.243423,0.108632,0.99371
0,0,0.999954,0.00188965
